epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1694.73,0.26548,0.94465,0.1376,0.81077,0.72216,0.71556,0.66423,nan,nan,nan,0.00111067,0.00111067,0.00111067
2,3156.74,0.23214,0.56364,0.11428,0.67824,0.48262,0.463,0.43126,nan,nan,nan,0.00110416,0.00110416,0.00110416
3,4610.55,0.22007,0.52642,0.10756,0.82584,0.80288,0.80718,0.74302,0.13659,0.32956,0.09906,0.00108381,0.00108381,0.00108381
4,6061.39,0.21428,0.51234,0.10185,0.81919,0.75955,0.76004,0.69892,nan,nan,nan,0.00105046,0.00105046,0.00105046
5,7483.53,0.20339,0.47568,0.09626,0.84758,0.79931,0.80513,0.74947,0.13467,0.33257,0.09356,0.00100492,0.00100492,0.00100492
6,8928.83,0.19858,0.47303,0.09368,0.81921,0.80544,0.77347,0.72055,0.11619,0.32284,0.07812,0.000948314,0.000948314,0.000948314
7,10348.5,0.18884,0.4401,0.08665,0.86786,0.82609,0.84661,0.78703,nan,nan,nan,0.000882038,0.000882038,0.000882038
8,11787.5,0.18973,0.4392,0.08956,0.85905,0.82208,0.83558,0.77874,0.12489,0.30397,0.08929,0.000807722,0.000807722,0.000807722
9,13192.6,0.18878,0.4244,0.08717,0.88266,0.72639,0.75203,0.69901,nan,nan,nan,0.000727197,0.000727197,0.000727197
10,14637.5,0.18373,0.4119,0.08431,0.84255,0.81756,0.83535,0.77941,0.11555,0.35762,0.07795,0.000642446,0.000642446,0.000642446
